	Sample_H1_08	Sample_H1_09	Sample_H1_10	Sample_H1_11	Sample_H1_12	Sample_H1_14	Sample_H1_19	Sample_H1_22	Sample_H1_29	Sample_H2_05	Sample_H2_09	Sample_H2_107	Sample_H2_109	Sample_H2_119	Sample_H2_13	Sample_H2_24	Sample_H2_25	Sample_H2_28	Sample_H2_37	Sample_H2_46	Sample_H2_61	Sample_H2_76	Sample_H2_82	Sample_H2_84	Sample_H2_92	Sample_H2_96	Sample_P01	Sample_P02	Sample_P03	Sample_P06	Sample_P08	Sample_P11	Sample_P12	Sample_P15	Sample_P18	Sample_s11	Sample_s104	Sample_s109	Sample_s112	Sample_s115	Sample_s127	Sample_s128	Sample_s143	Sample_s148	Sample_s153	Sample_s154	Sample_s156	Sample_s158	Sample_s159	Sample_s164	Sample_s167	Sample_s168	Sample_s181	Sample_s184	Sample_s185	Sample_s189	Sample_s200	Sample_s201	Sample_s203	Sample_s207	Sample_s209	Sample_s77	Sample_s82	Sample_s89	Sample_s90	Sample_s91	Sample_s92	Sample_s94	Sample_s96	Sample_s97	Sample_s98	Sample_s99	Sample_S10A	Sample_S11A	Sample_S12A	Sample_S13A	Sample_S14A	Sample_S15A	Sample_S16A	Sample_S17A	Sample_S18A	Sample_S19A	Sample_S1A	Sample_S20A	Sample_S21A	Sample_S22A	Sample_S23A	Sample_S24A	Sample_S25A	Sample_S26A	Sample_S27A	Sample_S28A	Sample_S29A	Sample_S2A	Sample_S30A	Sample_S31A	Sample_S32A	Sample_S33A	Sample_S34A	Sample_S35A	Sample_S36A	Sample_S37A	Sample_S38A	Sample_S39A	Sample_S3A	Sample_S40A	Sample_S41A	Sample_S42A	Sample_S43A	Sample_S4A	Sample_S5A	Sample_S6A	Sample_S7A	Sample_S8A	Sample_S9A	Sample_S10B	Sample_S11B	Sample_S12B	Sample_S13B	Sample_S14B	Sample_S15B	Sample_S16B	Sample_S17B	Sample_S18B	Sample_S19B	Sample_S1B	Sample_S20B	Sample_S21B	Sample_S22B	Sample_S23B	Sample_S24B	Sample_S25B	Sample_S26B	Sample_S27B	Sample_S28B	Sample_S29B	Sample_S2B	Sample_S30B	Sample_S31B	Sample_S32B	Sample_S33B	Sample_S34B	Sample_S35B	Sample_S36B	Sample_S37B	Sample_S38B	Sample_S39B	Sample_S3B	Sample_S40B	Sample_S41B	Sample_S42B	Sample_S43B	Sample_S4B	Sample_S5B	Sample_S6B	Sample_S7B	Sample_S8B	Sample_S9B
Sample_S15A.21	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	3.613296558	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	0.796152312	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	4.812399055	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	3.819896044	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	4.019284827	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	-0.146557447	5.21570313	-0.146557447	-0.146557447	-0.146557447	-0.146557447
Sample_S15A.7	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	4.115728783	-0.234617726	-0.234617726	1.664915444	-0.234617726	-0.234617726	-0.234617726	3.594519193	1.660743588	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	2.437540298	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	3.975471253	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	2.779340831	-0.234617726	2.626467849	4.639169492	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	4.517053048	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	2.477856013	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726	-0.234617726
Sample_S15A.8	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	1.191375534	1.264557971	-0.639401574	0.470629602	2.466868737	-0.639401574	1.242752375	-0.639401574	-0.639401574	0.011102167	1.08072453	1.595932139	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	3.806989831	-0.639401574	3.120916917	2.493827028	1.197690088	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	1.178134164	4.021330937	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	3.65710465	3.602957028	1.748699626	1.714299595	0.716722642	-0.639401574	-0.639401574	1.019969563	-0.639401574	-0.639401574	-0.639401574	-0.639401574	0.119817631	-0.639401574	-0.639401574	3.640095195	2.141356007	-0.639401574	-0.639401574	2.453121988	0.964593374	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	3.026915468	-0.003866061	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	1.910176585	-0.639401574	-0.639401574	1.613528696	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	3.196891997	-0.639401574	-0.639401574	-0.639401574	1.91680972	1.475182166	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	1.777699569	-0.639401574	-0.639401574	-0.639401574	4.305077004	-0.639401574	-0.639401574	-0.639401574	-0.639401574	2.770770629	2.298489293	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	-0.639401574	3.215119044	-0.639401574	-0.639401574	2.303825426	-0.639401574	-0.639401574	-0.639401574	-0.639401574
Sample_S15B.29	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	0.609012159	-0.082887416	-0.082887416	-0.082887416	-0.082887416	0.583995982	-0.082887416	2.084022411	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	1.121207395	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	1.960427571	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	0.718273618	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	3.308587746	-0.082887416	-0.082887416	-0.082887416	0.362516432	-0.082887416	1.602181718	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416	-0.082887416
Sample_s164.1	-0.058335868	-0.058335868	-0.058335868	-0.058335868	0.730438541	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	1.574784474	-0.058335868	-0.058335868	-0.058335868	-0.058335868	3.892751079	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	1.365042342	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	1.362371359	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868	-0.058335868
Sample_s164.2	-1.466776863	-0.175226259	0.224790199	0.253391226	-0.104793995	-0.247827972	-0.665897427	0.961070274	1.087103688	-0.855293811	0.721633349	-0.340838848	-1.466776863	-0.326812609	-0.105362981	-1.466776863	-0.2981394	-0.085240816	0.072046767	-0.812616047	1.103442907	-1.466776863	-0.024769279	1.035945185	0.553252201	-1.466776863	0.429929546	0.602265953	-1.466776863	-1.466776863	0.521663574	0.478693326	-1.466776863	0.194425474	0.375228382	0.754888791	0.504282477	0.557717609	0.174002926	1.013969455	-1.466776863	1.752686864	1.790041045	2.54048901	-0.489254985	-1.466776863	1.336428031	-0.088682971	0.533358598	2.882856609	0.338332948	0.583666493	-1.466776863	1.511486487	1.01462296	0.629501649	-0.511061358	-0.972858377	0.55961428	1.322321675	1.019737924	2.154443722	1.428296512	-1.466776863	-1.466776863	-1.023537328	-1.466776863	1.655095399	0.353566698	-1.466776863	0.31143976	-1.466776863	-0.660085884	-1.466776863	0.550619857	1.271754515	-1.466776863	-1.466776863	0.662549603	0.490517772	0.837896726	-0.3492993	-1.466776863	-0.957772896	-0.073547045	1.231852049	1.822419243	1.29477958	-0.76885968	1.181014316	-1.466776863	-1.466776863	-0.255422304	0.468752374	-1.466776863	0.334855471	0.534269978	-1.466776863	-1.466776863	-1.466776863	0.288599837	-1.466776863	-1.466776863	-1.466776863	-1.466776863	1.403236548	-0.573599158	0.24896753	-1.466776863	0.114741611	-1.466776863	1.335605386	0.580849443	0.997702015	-0.260602005	0.059366253	-1.466776863	0.869428774	-1.466776863	-1.466776863	-1.466776863	-1.466776863	1.279763556	1.367408623	-0.096991087	-1.466776863	-0.739574414	1.607584449	1.519940218	2.131694551	3.385322156	-1.466776863	1.240214412	-0.818891211	-0.818288578	1.414118622	-1.466776863	1.518332643	-1.466776863	2.143086266	0.570045881	-1.466776863	-0.104314658	1.186241726	-0.786766875	0.50240966	0.034112666	-1.466776863	2.910425542	-1.466776863	1.732660648	0.352986774	-1.466776863	-1.466776863	1.318839288	0.310170627	2.548811878	0.872286237
Sample_s164.6	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	5.307531846	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	4.256921335	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	2.736129511	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	-0.108821816	4.457977018	-0.108821816
Sample_s167.23	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	2.281982375	-0.446906881	-0.446906881	-0.446906881	-0.446906881	1.551811869	-0.446906881	0.309902938	0.558785668	-0.446906881	-0.446906881	-0.446906881	0.193849281	-0.446906881	1.692258171	1.243866218	0.620590436	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	2.722762964	-0.446906881	0.296649781	-0.446906881	-0.446906881	-0.446906881	3.083172729	1.35246524	0.635024133	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	2.79832006	1.112860711	0.543113288	-0.446906881	-0.446906881	-0.446906881	1.472237198	-0.446906881	-0.446906881	4.77740074	-0.446906881	-0.446906881	-0.446906881	2.716551318	1.885470212	0.619724995	0.552704794	-0.446906881	-0.446906881	2.312185059	0.634028018	-0.446906881	-0.446906881	0.663217336	0.202505817	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	2.975930153	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	0.337754941	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	2.488032541	-0.446906881	1.377323636	1.92139187	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	1.01995661	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	2.594383949	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	-0.446906881	2.477356549	-0.446906881	-0.446906881	2.943974718	-0.446906881	-0.446906881	-0.446906881	-0.446906881
Sample_s168.10	-0.091743881	-0.091743881	-0.091743881	1.166685032	-0.091743881	1.042398773	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	0.229048839	-0.091743881	-0.091743881	-0.091743881	-0.091743881	0.931107273	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	1.992115513	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	2.966554623	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	0.717388927	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	0.4602464	2.14306717	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	0.591366462	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	-0.091743881	1.24637154	-0.091743881	-0.091743881	-0.091743881	-0.091743881
Sample_s168.13	-0.752345807	0.373747584	0.180537471	0.967697765	0.439753848	1.026661368	-0.120297217	-0.011594553	2.497576727	-0.752345807	0.575837569	-0.164400951	-0.752345807	0.036893528	1.548248255	-0.752345807	-0.172879074	-0.476597286	-0.752345807	-0.752345807	0.266693268	-0.752345807	-0.752345807	-0.752345807	0.199739954	-0.752345807	-0.752345807	1.470936813	-0.752345807	-0.752345807	-0.623073662	-0.752345807	-0.752345807	-0.752345807	0.325607994	0.138547426	0.00629289	0.239202057	-0.752345807	0.136673213	0.083617248	1.634920491	2.136062244	1.675200611	-0.004055976	-0.752345807	0.887489232	-0.270743898	0.51638384	-0.074395305	0.598092638	2.221832364	-0.752345807	1.123161345	1.66066931	-0.387473873	-0.752345807	-0.752345807	-0.752345807	0.133169573	0.62702178	1.781603786	1.235110476	-0.752345807	-0.752345807	-0.752345807	-0.752345807	1.229698453	-0.349511526	-0.752345807	0.752097953	-0.752345807	-0.752345807	-0.752345807	-0.752345807	-0.752345807	-0.752345807	-0.752345807	0.602609311	-0.752345807	-0.267439567	0.582398837	-0.364467503	-0.752345807	-0.752345807	1.230385098	-0.752345807	1.150059322	-0.752345807	0.036363947	-0.752345807	-0.752345807	-0.752345807	-0.752345807	-0.752345807	-0.752345807	0.137861296	-0.752345807	-0.752345807	-0.752345807	-0.752345807	-0.752345807	-0.752345807	-0.752345807	-0.752345807	1.327636776	-0.752345807	0.142113613	-0.752345807	0.430526993	-0.752345807	0.477697294	-0.059232209	-0.752345807	0.803241804	-0.752345807	0.701524697	-0.752345807	-0.752345807	-0.752345807	-0.752345807	-0.752345807	1.252652851	0.805292376	1.139435041	0.400952872	0.295752961	0.113852029	1.132922927	-0.752345807	1.962074896	-0.633948332	0.136379025	-0.752345807	-0.752345807	1.62462264	-0.752345807	2.09134491	-0.752345807	0.408109225	0.197599228	-0.752345807	1.866491069	2.305375272	-0.752345807	-0.4262184	2.758125419	-0.752345807	0.932303142	-0.752345807	2.022620128	0.389834178	-0.752345807	-0.752345807	0.461065036	-0.157767212	0.609593346	0.982089629
Sample_s168.2	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	3.699044411	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792	-0.023560792
